default,contact,duration,campaign,pdays,previous,poutcome,y
0,2,221,1,999,0,3,0
0,2,426,1,999,0,3,0
2,2,287,1,999,0,3,0
0,2,197,1,999,0,3,0
0,2,257,1,999,0,3,0
0,2,229,1,999,0,3,0
0,2,55,3,999,0,3,0
0,2,400,1,999,0,3,0
0,2,197,1,999,0,3,0
0,2,190,1,999,0,3,0
2,2,21,1,999,0,3,0
0,2,300,2,999,0,3,0
0,2,123,2,999,0,3,0
2,2,293,1,999,0,3,0
2,2,325,1,999,0,3,0
2,2,514,1,999,0,3,0
2,2,849,2,999,0,3,0
0,2,194,1,999,0,3,0
2,2,212,2,999,0,3,0
0,2,337,2,999,0,3,0
0,2,286,1,999,0,3,0
0,2,247,2,999,0,3,0
2,2,518,1,999,0,3,0
0,2,364,1,999,0,3,0
2,2,178,1,999,0,3,0
2,2,98,1,999,0,3,0
0,2,439,1,999,0,3,0
0,2,139,1,999,0,3,0
0,2,79,1,999,0,3,0
0,2,175,1,999,0,3,0
0,2,262,2,999,0,3,0
0,2,61,1,999,0,3,0
0,2,78,1,999,0,3,0
0,2,102,2,999,0,3,0
2,2,579,1,999,0,3,1
0,2,143,1,999,0,3,0
2,2,677,1,999,0,3,0
0,2,267,1,999,0,3,0
0,2,345,1,999,0,3,0
0,2,185,1,999,0,3,0
0,2,207,1,999,0,3,0
2,2,69,2,999,0,3,0
2,2,100,2,999,0,3,0
0,2,125,2,999,0,3,0
2,2,461,1,999,0,3,1
0,2,240,1,999,0,3,0
0,2,70,1,999,0,3,0
0,2,193,1,999,0,3,0
0,2,136,1,999,0,3,0
2,2,73,1,999,0,3,0
2,2,528,1,999,0,3,0
2,2,541,1,999,0,3,0
0,2,338,1,999,0,3,0
2,2,163,1,999,0,3,0
0,2,87,1,999,0,3,0
2,2,301,1,999,0,3,0
2,2,46,1,999,0,3,0
2,2,52,1,999,0,3,0
2,2,204,1,999,0,3,0
0,2,155,1,999,0,3,0
0,2,98,1,999,0,3,0
2,2,71,1,999,0,3,0
2,2,243,1,999,0,3,0
0,2,186,2,999,0,3,0
0,2,579,2,999,0,3,0
0,2,165,2,999,0,3,0
2,2,163,2,999,0,3,0
2,2,46,1,999,0,3,0
2,2,559,3,999,0,3,0
2,2,2033,1,999,0,3,0
0,2,85,1,999,0,3,0
0,2,506,1,999,0,3,0
2,2,114,2,999,0,3,0
0,2,114,2,999,0,3,0
0,2,843,2,999,0,3,0
2,2,181,1,999,0,3,0
2,2,427,1,999,0,3,0
0,2,292,1,999,0,3,0
2,2,192,1,999,0,3,0
0,2,93,3,999,0,3,0
0,2,128,2,999,0,3,0
0,2,107,1,999,0,3,0
0,2,303,2,999,0,3,0
0,2,81,1,999,0,3,0
0,2,270,1,999,0,3,0
0,2,228,1,999,0,3,0
2,2,240,1,999,0,3,0
0,2,673,2,999,0,3,1
0,2,233,3,999,0,3,0
2,2,102,1,999,0,3,0
0,2,461,1,999,0,3,0
2,2,250,1,999,0,3,0
2,2,130,1,999,0,3,0
2,2,252,1,999,0,3,0
0,2,138,1,999,0,3,0
0,2,412,1,999,0,3,0
0,2,179,2,999,0,3,0
0,2,19,2,999,0,3,0
0,2,228,2,999,0,3,0
2,2,55,1,999,0,3,0
0,2,717,1,999,0,3,0
2,2,313,1,999,0,3,0
2,2,289,1,999,0,3,0
2,2,683,2,999,0,3,0
0,2,1077,1,999,0,3,0
0,2,146,2,999,0,3,0
0,2,167,1,999,0,3,0
0,2,356,2,999,0,3,0
0,2,277,1,999,0,3,0
0,2,172,1,999,0,3,0
2,2,218,1,999,0,3,0
2,2,217,1,999,0,3,0
0,2,67,1,999,0,3,0
0,2,291,1,999,0,3,0
2,2,248,1,999,0,3,0
0,2,256,1,999,0,3,0
0,2,286,1,999,0,3,0
0,2,477,1,999,0,3,0
2,2,611,2,999,0,3,0
2,2,471,1,999,0,3,0
2,2,381,2,999,0,3,0
0,2,251,1,999,0,3,0
0,2,408,1,999,0,3,0
2,2,287,1,999,0,3,0
0,2,322,3,999,0,3,0
0,2,216,2,999,0,3,0
2,2,366,2,999,0,3,0
2,2,210,1,999,0,3,0
2,2,288,1,999,0,3,0
0,2,168,1,999,0,3,0
0,2,132,1,999,0,3,0
0,2,64,2,999,0,3,0
0,2,209,2,999,0,3,0
2,2,410,3,999,0,3,0
0,2,177,1,999,0,3,0
0,2,580,2,999,0,3,0
0,2,165,1,999,0,3,0
2,2,127,2,999,0,3,0
2,2,357,1,999,0,3,0
2,2,175,1,999,0,3,0
0,2,300,1,999,0,3,0
0,2,136,1,999,0,3,0
0,2,125,2,999,0,3,0
2,2,189,2,999,0,3,0
2,2,213,3,999,0,3,0
0,2,238,2,999,0,3,0
0,2,124,1,999,0,3,0
0,2,18,1,999,0,3,0
0,2,730,2,999,0,3,0
2,2,40,1,999,0,3,0
0,2,181,2,999,0,3,0
0,2,79,1,999,0,3,0
0,2,142,2,999,0,3,0
0,2,389,1,999,0,3,0
0,2,702,1,999,0,3,0
0,2,151,1,999,0,3,0
0,2,211,1,999,0,3,0
0,2,117,1,999,0,3,0
0,2,232,3,999,0,3,0
0,2,408,2,999,0,3,0
0,2,370,3,999,0,3,0
2,2,179,2,999,0,3,0
0,2,46,1,999,0,3,0
0,2,200,1,999,0,3,0
0,2,50,1,999,0,3,0
0,2,181,1,999,0,3,0
0,2,119,1,999,0,3,0
0,2,361,1,999,0,3,0
0,2,73,3,999,0,3,0
0,2,67,2,999,0,3,0
0,2,350,1,999,0,3,0
0,2,150,2,999,0,3,0
2,2,332,2,999,0,3,0
0,2,611,2,999,0,3,0
2,2,58,3,999,0,3,0
2,2,151,1,999,0,3,0
0,2,89,2,999,0,3,0
2,2,152,1,999,0,3,0
0,2,611,2,999,0,3,0
2,2,110,2,999,0,3,0
2,2,463,1,999,0,3,0
0,2,962,1,999,0,3,0
2,2,102,2,999,0,3,0
0,2,10,4,999,0,3,0
0,2,118,3,999,0,3,0
0,2,92,2,999,0,3,0
0,2,143,3,999,0,3,0
0,2,189,3,999,0,3,0
0,2,75,2,999,0,3,0
0,2,189,2,999,0,3,0
0,2,55,2,999,0,3,0
0,2,935,3,999,0,3,1
0,2,56,2,999,0,3,0
2,2,5,2,999,0,3,0
0,2,225,2,999,0,3,0
0,2,125,2,999,0,3,0
0,2,286,2,999,0,3,0
2,2,206,2,999,0,3,0
0,2,164,2,999,0,3,0
0,2,98,2,999,0,3,0
0,2,446,2,999,0,3,0
0,2,742,2,999,0,3,0
0,2,120,2,999,0,3,0
0,2,122,3,999,0,3,0
2,2,362,4,999,0,3,0
2,2,357,2,999,0,3,0
2,2,200,2,999,0,3,0
2,2,107,2,999,0,3,0
0,2,267,2,999,0,3,0
0,2,248,2,999,0,3,0
2,2,215,2,999,0,3,0
2,2,209,2,999,0,3,0
0,2,205,2,999,0,3,0
0,2,261,3,999,0,3,0
0,2,83,2,999,0,3,0
0,2,106,3,999,0,3,0
0,2,106,2,999,0,3,0
0,2,108,2,999,0,3,0
2,2,214,2,999,0,3,0
2,2,358,2,999,0,3,0
2,2,453,2,999,0,3,0
0,2,364,2,999,0,3,0
0,2,136,2,999,0,3,0
0,2,173,2,999,0,3,0
0,2,241,2,999,0,3,0
0,2,224,3,999,0,3,0
0,2,148,2,999,0,3,0
0,2,230,2,999,0,3,0
2,2,199,3,999,0,3,0
0,2,196,2,999,0,3,0
0,2,111,4,999,0,3,0
0,2,231,3,999,0,3,0
0,2,316,3,999,0,3,0
2,2,240,2,999,0,3,0
0,2,669,3,999,0,3,0
0,2,425,2,999,0,3,0
0,2,121,2,999,0,3,0
0,2,174,5,999,0,3,0
0,2,88,5,999,0,3,0
2,2,313,3,999,0,3,0
0,2,135,4,999,0,3,0
2,2,152,2,999,0,3,0
0,2,402,3,999,0,3,0
2,2,221,2,999,0,3,0
2,2,213,2,999,0,3,0
2,2,144,3,999,0,3,0
0,2,158,3,999,0,3,0
0,2,220,3,999,0,3,0
2,2,325,2,999,0,3,0
0,2,254,2,999,0,3,0
0,2,503,2,999,0,3,0
0,2,680,2,999,0,3,0
2,2,421,4,999,0,3,0
0,2,130,3,999,0,3,0
0,2,164,2,999,0,3,0
2,2,174,3,999,0,3,0
0,2,113,2,999,0,3,0
0,2,195,2,999,0,3,0
0,2,347,3,999,0,3,0
0,2,208,2,999,0,3,0
0,2,404,4,999,0,3,0
0,2,396,2,999,0,3,0
0,2,98,2,999,0,3,0
0,2,229,3,999,0,3,0
0,2,350,2,999,0,3,0
2,2,88,3,999,0,3,0
0,2,379,2,999,0,3,0
0,2,168,3,999,0,3,0
2,2,190,3,999,0,3,0
0,2,158,1,999,0,3,0
0,2,210,1,999,0,3,0
0,2,102,1,999,0,3,0
0,2,306,1,999,0,3,0
2,2,64,1,999,0,3,0
0,2,218,1,999,0,3,0
0,2,77,1,999,0,3,0
0,2,54,1,999,0,3,0
0,2,344,1,999,0,3,0
0,2,195,1,999,0,3,0
0,2,202,1,999,0,3,0
0,2,286,1,999,0,3,0
0,2,278,1,999,0,3,0
0,2,189,1,999,0,3,0
0,2,83,1,999,0,3,0
0,2,18,1,999,0,3,0
0,2,184,2,999,0,3,0
0,2,235,1,999,0,3,0
0,2,290,1,999,0,3,0
2,2,133,1,999,0,3,0
2,2,318,1,999,0,3,0
2,2,437,1,999,0,3,0
0,2,402,1,999,0,3,0
2,2,501,4,999,0,3,0
2,2,1201,1,999,0,3,1
0,2,1030,1,999,0,3,1
2,2,253,1,999,0,3,0
2,2,149,1,999,0,3,0
0,2,144,1,999,0,3,0
0,2,69,1,999,0,3,0
0,2,243,1,999,0,3,0
0,2,769,2,999,0,3,0
2,2,135,3,999,0,3,0
0,2,231,1,999,0,3,0
0,2,442,2,999,0,3,0
2,2,199,1,999,0,3,0
0,2,455,1,999,0,3,0
2,2,152,1,999,0,3,0
2,2,124,1,999,0,3,0
2,2,424,1,999,0,3,0
2,2,43,1,999,0,3,0
0,2,154,1,999,0,3,0
0,2,393,1,999,0,3,0
0,2,203,2,999,0,3,0
0,2,140,2,999,0,3,0
2,2,326,1,999,0,3,0
0,2,483,1,999,0,3,0
0,2,259,1,999,0,3,0
0,2,227,1,999,0,3,0
0,2,673,1,999,0,3,0
2,2,576,1,999,0,3,0
2,2,180,2,999,0,3,0
2,2,90,1,999,0,3,0
2,2,505,1,999,0,3,0
0,2,245,1,999,0,3,0
0,2,186,1,999,0,3,0
2,2,208,1,999,0,3,0
0,2,623,1,999,0,3,0
2,2,180,1,999,0,3,0
2,2,496,3,999,0,3,0
2,2,118,1,999,0,3,0
0,2,102,2,999,0,3,0
0,2,342,1,999,0,3,0
0,2,225,1,999,0,3,0
2,2,185,3,999,0,3,0
2,2,276,1,999,0,3,0
0,2,87,1,999,0,3,0
2,2,744,1,999,0,3,0
0,2,262,1,999,0,3,0
0,2,271,1,999,0,3,0
2,2,141,1,999,0,3,0
0,2,198,2,999,0,3,0
0,2,150,1,999,0,3,0
0,2,241,1,999,0,3,0
0,2,196,1,999,0,3,0
0,2,149,1,999,0,3,0
2,2,264,1,999,0,3,0
0,2,246,1,999,0,3,0
2,2,309,2,999,0,3,0
0,2,140,1,999,0,3,0
0,2,175,1,999,0,3,0
2,2,136,1,999,0,3,0
0,2,1623,1,999,0,3,1
2,2,50,1,999,0,3,0
2,2,101,1,999,0,3,0
0,2,144,1,999,0,3,0
2,2,238,1,999,0,3,0
2,2,354,1,999,0,3,0
0,2,451,2,999,0,3,0
0,2,159,1,999,0,3,0
0,2,170,1,999,0,3,0
0,2,243,1,999,0,3,0
2,2,141,2,999,0,3,0
0,2,112,1,999,0,3,0
0,2,262,2,999,0,3,0
0,2,53,1,999,0,3,0
2,2,134,1,999,0,3,0
0,2,204,4,999,0,3,0
0,2,678,1,999,0,3,0
0,2,182,1,999,0,3,0
0,2,162,1,999,0,3,0
0,2,177,1,999,0,3,0
2,2,27,1,999,0,3,0
2,2,699,3,999,0,3,0
0,2,358,1,999,0,3,0
0,2,1677,1,999,0,3,1
2,2,529,1,999,0,3,0
0,2,310,1,999,0,3,0
0,2,47,1,999,0,3,0
2,2,379,1,999,0,3,0
0,2,30,2,999,0,3,0
2,2,472,1,999,0,3,0
2,2,113,1,999,0,3,0
2,2,114,1,999,0,3,0
0,2,116,1,999,0,3,0
2,2,448,1,999,0,3,0
2,2,264,1,999,0,3,0
0,2,169,1,999,0,3,0
0,2,145,1,999,0,3,0
2,2,288,1,999,0,3,0
2,2,381,1,999,0,3,0
0,2,176,2,999,0,3,0
2,2,215,1,999,0,3,0
0,2,278,1,999,0,3,0
2,2,188,2,999,0,3,0
0,2,174,2,999,0,3,0
0,2,226,2,999,0,3,0
2,2,111,2,999,0,3,0
0,2,157,2,999,0,3,0
2,2,46,1,999,0,3,0
2,2,49,1,999,0,3,0
2,2,374,1,999,0,3,0
0,2,349,1,999,0,3,0
2,2,325,1,999,0,3,0
0,2,233,2,999,0,3,0
2,2,531,1,999,0,3,0
2,2,153,1,999,0,3,0
0,2,80,1,999,0,3,0
0,2,198,1,999,0,3,0
2,2,568,1,999,0,3,0
2,2,918,1,999,0,3,1
0,2,82,1,999,0,3,0
0,2,198,3,999,0,3,0
2,2,211,1,999,0,3,0
0,2,120,1,999,0,3,0
2,2,269,1,999,0,3,0
0,2,128,1,999,0,3,0
0,2,166,2,999,0,3,0
0,2,211,1,999,0,3,0
0,2,369,1,999,0,3,0
0,2,91,1,999,0,3,0
2,2,267,2,999,0,3,0
2,2,198,1,999,0,3,0
0,2,371,2,999,0,3,0
2,2,288,2,999,0,3,0
0,2,221,1,999,0,3,0
2,2,427,1,999,0,3,0
0,2,310,1,999,0,3,0
0,2,158,1,999,0,3,0
0,2,198,1,999,0,3,0
0,2,145,1,999,0,3,0
2,2,247,1,999,0,3,0
0,2,102,1,999,0,3,0
0,2,179,2,999,0,3,0
0,2,73,1,999,0,3,0
0,2,263,2,999,0,3,0
0,2,342,2,999,0,3,0
2,2,41,1,999,0,3,0
0,2,13,1,999,0,3,0
0,2,79,2,999,0,3,0
0,2,358,1,999,0,3,0
2,2,162,1,999,0,3,0
0,2,150,1,999,0,3,0
2,2,26,1,999,0,3,0
2,2,250,1,999,0,3,0
0,2,792,1,999,0,3,0
2,2,146,1,999,0,3,0
2,2,440,1,999,0,3,0
2,2,289,1,999,0,3,0
0,2,242,2,999,0,3,0
0,2,123,1,999,0,3,0
0,2,161,2,999,0,3,0
0,2,268,2,999,0,3,0
0,2,259,2,999,0,3,0
0,2,26,1,999,0,3,0
2,2,153,1,999,0,3,0
0,2,424,2,999,0,3,0
2,2,375,1,999,0,3,0
0,2,179,2,999,0,3,0
0,2,383,1,999,0,3,0
2,2,440,1,999,0,3,0
0,2,195,1,999,0,3,0
0,2,1297,3,999,0,3,1
0,2,217,1,999,0,3,0
2,2,87,1,999,0,3,0
2,2,427,1,999,0,3,0
0,2,189,1,999,0,3,0
2,2,502,1,999,0,3,0
0,2,260,1,999,0,3,0
2,2,209,1,999,0,3,0
0,2,179,1,999,0,3,0
0,2,179,1,999,0,3,0
2,2,69,1,999,0,3,0
0,2,105,2,999,0,3,0
0,2,266,3,999,0,3,0
2,2,87,2,999,0,3,0
0,2,524,2,999,0,3,0
0,2,155,2,999,0,3,0
2,2,162,2,999,0,3,0
2,2,316,4,999,0,3,0
0,2,352,2,999,0,3,0
0,2,695,3,999,0,3,0
0,2,76,4,999,0,3,0
2,2,535,2,999,0,3,0
0,2,310,2,999,0,3,0
0,2,390,3,999,0,3,0
2,2,369,1,999,0,3,0
0,2,112,2,999,0,3,0
2,2,79,1,999,0,3,0
0,2,140,2,999,0,3,0
2,2,315,1,999,0,3,0
0,2,262,2,999,0,3,0
2,2,174,2,999,0,3,0
0,2,424,2,999,0,3,0
2,2,135,1,999,0,3,0
2,2,36,5,999,0,3,0
0,2,1906,3,999,0,3,0
0,2,219,2,999,0,3,0
0,2,135,1,999,0,3,0
0,2,147,2,999,0,3,0
0,2,407,2,999,0,3,0
0,2,402,4,999,0,3,0
0,2,209,1,999,0,3,0
0,2,92,2,999,0,3,0
2,2,208,1,999,0,3,0
0,2,193,1,999,0,3,0
0,2,65,1,999,0,3,0
0,2,284,2,999,0,3,0
0,2,285,1,999,0,3,0
2,2,231,1,999,0,3,0
0,2,278,1,999,0,3,0
0,2,389,1,999,0,3,0
0,2,158,1,999,0,3,0
2,2,78,2,999,0,3,0
2,2,258,5,999,0,3,0
0,2,87,1,999,0,3,0
0,2,147,2,999,0,3,0
0,2,635,1,999,0,3,0
0,2,289,1,999,0,3,0
0,2,170,3,999,0,3,0
0,2,802,1,999,0,3,0
0,2,381,2,999,0,3,0
2,2,218,4,999,0,3,0
0,2,57,2,999,0,3,0
0,2,304,2,999,0,3,0
0,2,241,3,999,0,3,0
0,2,230,1,999,0,3,0
0,2,79,4,999,0,3,0
0,2,262,3,999,0,3,0
2,2,392,2,999,0,3,0
0,2,201,2,999,0,3,0
0,2,145,1,999,0,3,0
0,2,252,1,999,0,3,0
0,2,329,1,999,0,3,0
2,2,328,2,999,0,3,0
0,2,191,2,999,0,3,0
0,2,116,2,999,0,3,0
0,2,246,1,999,0,3,0
0,2,532,2,999,0,3,0
0,2,293,1,999,0,3,0
2,2,416,3,999,0,3,0
0,2,37,2,999,0,3,0
0,2,132,2,999,0,3,0
0,2,530,2,999,0,3,0
2,2,175,3,999,0,3,0
0,2,90,5,999,0,3,0
2,2,524,2,999,0,3,0
0,2,29,3,999,0,3,0
0,2,311,2,999,0,3,0
2,2,412,1,999,0,3,0
0,2,211,2,999,0,3,0
0,2,312,3,999,0,3,0
0,2,392,1,999,0,3,0
0,2,191,1,999,0,3,0
2,2,284,2,999,0,3,0
0,2,328,1,999,0,3,0
0,2,100,1,999,0,3,0
0,2,226,1,999,0,3,0
2,2,507,1,999,0,3,0
0,2,333,2,999,0,3,0
2,2,128,2,999,0,3,0
0,2,322,2,999,0,3,0
0,2,202,4,999,0,3,0
2,2,92,2,999,0,3,0
2,2,205,2,999,0,3,0
0,2,739,3,999,0,3,0
2,2,273,2,999,0,3,0
0,2,339,3,999,0,3,0
0,2,262,1,999,0,3,0
0,2,308,3,999,0,3,0
2,2,467,2,999,0,3,0
0,2,245,2,999,0,3,0
0,2,160,3,999,0,3,0
0,2,189,2,999,0,3,0
0,2,477,1,999,0,3,0
0,2,65,3,999,0,3,0
2,2,191,1,999,0,3,0
2,2,196,2,999,0,3,0
0,2,221,2,999,0,3,0
0,2,197,2,999,0,3,0
0,2,178,2,999,0,3,0
0,2,221,2,999,0,3,0
2,2,64,2,999,0,3,0
0,2,75,2,999,0,3,0
0,2,400,2,999,0,3,0
2,2,378,3,999,0,3,0
2,2,118,2,999,0,3,0
2,2,1597,2,999,0,3,1
0,2,346,2,999,0,3,0
2,2,107,2,999,0,3,0
0,2,60,3,999,0,3,0
0,2,276,2,999,0,3,0
2,2,176,2,999,0,3,0
0,2,390,2,999,0,3,0
2,2,251,3,999,0,3,0
0,2,716,2,999,0,3,0
0,2,189,3,999,0,3,0
0,2,125,2,999,0,3,0
0,2,234,2,999,0,3,0
2,2,79,2,999,0,3,0
2,2,13,6,999,0,3,0
2,2,296,3,999,0,3,0
2,2,114,2,999,0,3,0
0,2,283,3,999,0,3,0
0,2,109,2,999,0,3,0
2,2,132,2,999,0,3,0
0,2,144,2,999,0,3,0
2,2,121,2,999,0,3,0
0,2,95,3,999,0,3,0
0,2,31,3,999,0,3,0
0,2,112,3,999,0,3,0
0,2,161,2,999,0,3,0
0,2,87,4,999,0,3,0
2,2,593,2,999,0,3,0
2,2,99,2,999,0,3,0
2,2,198,2,999,0,3,0
0,2,285,2,999,0,3,0
2,2,190,3,999,0,3,0
2,2,172,5,999,0,3,0
0,2,178,2,999,0,3,0
0,2,174,2,999,0,3,0
0,2,631,2,999,0,3,0
0,2,152,3,999,0,3,0
0,2,176,5,999,0,3,0
0,2,32,3,999,0,3,0
0,2,1529,2,999,0,3,0
0,2,254,2,999,0,3,0
0,2,214,2,999,0,3,0
0,2,147,3,999,0,3,0
0,2,800,4,999,0,3,0
0,2,106,2,999,0,3,0
0,2,135,2,999,0,3,0
0,2,112,4,999,0,3,0
0,2,222,2,999,0,3,0
2,2,314,3,999,0,3,0
0,2,421,2,999,0,3,0
2,2,410,2,999,0,3,0
2,2,207,3,999,0,3,0
0,2,239,2,999,0,3,0
2,2,83,4,999,0,3,0
2,2,160,3,999,0,3,0
2,2,42,3,999,0,3,0
0,2,55,2,999,0,3,0
0,2,157,2,999,0,3,0
0,2,303,3,999,0,3,0
2,2,336,3,999,0,3,0
0,2,233,2,999,0,3,0
0,2,211,2,999,0,3,0
2,2,88,5,999,0,3,0
0,2,139,2,999,0,3,0
0,2,329,3,999,0,3,0
2,2,305,2,999,0,3,0
2,2,206,2,999,0,3,0
0,2,128,2,999,0,3,0
0,2,122,3,999,0,3,0
0,2,343,3,999,0,3,0
0,2,126,2,999,0,3,0
0,2,249,3,999,0,3,0
0,2,59,3,999,0,3,0
0,2,166,3,999,0,3,0
0,2,190,3,999,0,3,0
2,2,216,2,999,0,3,0
0,2,51,3,999,0,3,0
2,2,169,3,999,0,3,0
2,2,148,3,999,0,3,0
2,2,132,3,999,0,3,0
0,2,117,3,999,0,3,0
0,2,275,4,999,0,3,0
0,2,124,2,999,0,3,0
2,2,118,3,999,0,3,0
0,2,479,2,999,0,3,0
0,2,285,3,999,0,3,0
0,2,322,2,999,0,3,0
2,2,202,2,999,0,3,0
2,2,162,2,999,0,3,0
2,2,216,3,999,0,3,0
2,2,195,2,999,0,3,0
0,2,96,2,999,0,3,0
2,2,149,2,999,0,3,0
0,2,720,2,999,0,3,0
0,2,92,2,999,0,3,0
0,2,188,2,999,0,3,0
2,2,70,2,999,0,3,0
0,2,141,3,999,0,3,0
0,2,395,2,999,0,3,0
2,2,629,2,999,0,3,0
0,2,261,3,999,0,3,0
2,2,502,1,999,0,3,0
0,2,446,1,999,0,3,0
0,2,131,3,999,0,3,0
0,2,198,3,999,0,3,0
0,2,312,1,999,0,3,0
0,2,275,6,999,0,3,0
2,2,120,2,999,0,3,0
0,2,333,4,999,0,3,0
2,2,113,1,999,0,3,0
2,2,150,1,999,0,3,0
2,2,91,1,999,0,3,0
0,2,296,1,999,0,3,0
0,2,128,3,999,0,3,0
2,2,298,1,999,0,3,0
0,2,326,1,999,0,3,0
0,2,292,1,999,0,3,0
0,2,215,1,999,0,3,0
0,2,97,1,999,0,3,0
2,2,32,1,999,0,3,0
2,2,162,1,999,0,3,0
0,2,421,1,999,0,3,0
0,2,268,1,999,0,3,0
0,2,232,1,999,0,3,0
0,2,152,3,999,0,3,0
0,2,104,2,999,0,3,0
0,2,852,1,999,0,3,0
2,2,159,2,999,0,3,0
0,2,416,2,999,0,3,0
0,2,174,1,999,0,3,0
2,2,139,1,999,0,3,0
0,2,193,1,999,0,3,0
0,2,294,1,999,0,3,0
0,2,102,1,999,0,3,0
2,2,124,1,999,0,3,0
0,2,143,1,999,0,3,0
2,2,231,1,999,0,3,0
0,2,128,1,999,0,3,0
2,2,74,1,999,0,3,0
0,2,105,2,999,0,3,0
0,2,992,1,999,0,3,1
2,2,168,1,999,0,3,0
0,2,250,1,999,0,3,0
0,2,254,1,999,0,3,0
0,2,149,1,999,0,3,0
0,2,133,2,999,0,3,0
0,2,374,1,999,0,3,0
0,2,425,6,999,0,3,0
2,2,207,1,999,0,3,0
0,2,464,1,999,0,3,0
0,2,439,1,999,0,3,0
0,2,83,3,999,0,3,0
2,2,732,2,999,0,3,1
0,2,149,1,999,0,3,0
2,2,142,1,999,0,3,0
2,2,121,1,999,0,3,0
2,2,359,1,999,0,3,0
2,2,112,1,999,0,3,0
0,2,274,4,999,0,3,0
0,2,325,2,999,0,3,0
0,2,1521,1,999,0,3,0
0,2,216,1,999,0,3,0
0,2,161,1,999,0,3,0
2,2,122,2,999,0,3,0
2,2,800,1,999,0,3,0
2,2,615,1,999,0,3,0
0,2,111,1,999,0,3,0
0,2,359,1,999,0,3,0
0,2,327,3,999,0,3,0
0,2,236,1,999,0,3,0
2,2,227,1,999,0,3,0
2,2,109,1,999,0,3,0
0,2,492,2,999,0,3,0
2,2,298,1,999,0,3,0
2,2,83,2,999,0,3,0
0,2,241,2,999,0,3,0
0,2,1138,1,999,0,3,1
2,2,131,1,999,0,3,0
0,2,123,1,999,0,3,0
0,2,125,1,999,0,3,0
0,2,295,2,999,0,3,0
0,2,287,1,999,0,3,0
2,2,109,1,999,0,3,0
0,2,140,2,999,0,3,0
0,2,52,1,999,0,3,0
0,2,233,1,999,0,3,0
0,2,254,1,999,0,3,0
0,2,255,1,999,0,3,0
2,2,126,1,999,0,3,0
0,2,184,2,999,0,3,0
